id	ServiceCount	UniqueBeneficiaries	BeneficiaryServiceCount	TotalAllowed	TotalCharged	TotalPayment
26149	99423	47028	83910	5783088	11137809	4321568
29031	1308366	610485	903356	65746446	205006600	50589816
16071	4030	1172	1726	189121	480109	146336
46059	10720	2337	5270	286405	379567	211437
13161	49175	17696	27521	2315059	6265993	1751306
31105	10370	3594	8657	467988	611549	341041
1111	134439	20503	40738	3826003	6653483	2957866
48227	128095	47750	86908	6632496	18998743	4962770
5051	1852490	620036	1011438	67075742	150331202	51896000
48281	152636	12899	22443	3958771	7931952	3133108
39157	318818	107197	184509	16697172	31566701	12726623
12045	42175	9300	17962	1786551	3415088	1354062
31137	105745	37256	84312	2615776	4606779	2029925
51029	59267	5576	11239	1343861	2110807	1052236
72133	4534	2004	4330	153315	182173	120237
16063	3156	816	1120	95625	129164	71590
31079	563558	243944	394874	25133820	61679422	19259872
51570	249933	120391	196774	13167107	25836519	9960282
17103	135308	68837	112708	7947548	29098037	6019524
48285	79109	14161	28327	2552375	3965758	1976112
47025	109855	41852	69900	4038361	8410089	3066437
29215	31610	17100	29801	1270212	3175492	943955
48187	399632	130107	223346	22470408	62288246	17205875
48295	3606	87	106	53989	126637	43079
5055	194733	79301	134327	8834280	20334265	6758458
48291	186679	70384	130996	8223580	20208751	6339104
5061	53721	14725	26573	1998355	4115797	1488321
13037	9100	2720	4212	351556	860288	276031
48191	7994	724	1744	192727	273092	150183
48271	3711	291	350	75121	94352	58606
1103	1913575	522647	801023	50333189	126727635	38758135
29053	12103	4653	10374	501649	849832	352595
38041	3998	158	188	74182	131628	59057
22021	18001	6690	15992	848185	1573596	650893
20075	3492	783	1830	96165	120447	70663
55003	110420	56677	91278	4436464	11730564	3332366
48039	690609	238779	421346	35095860	93206067	26646688
51678	82220	43731	71127	4735259	9783399	3547297
12083	6483555	1616421	2721909	271421824	593924400	212325430
24017	617416	221353	403813	38091990	82864743	29206244
39023	496087	213719	357231	32433193	69299967	24744548
48359	619	36	40	13592	17820	10874
17203	54535	13425	28708	1813727	3519517	1366044
38053	4647	1976	3178	202474	383222	155870
12035	556722	181718	323346	26906919	53965204	20691922
40101	673598	241201	407063	33216094	78832273	25499415
31067	83496	24101	60083	2134698	4028605	1655098
17007	70293	26414	56082	3330703	6650175	2468920
18119	36292	11184	16604	764542	1153372	598909
48361	130745	69494	114810	5936677	13942735	4440842
13005	45613	15855	28364	1857484	3909132	1374114
18009	27792	15817	26602	1571024	2561229	1171069
48373	259201	77919	143021	9597706	22661348	7316158
27043	14652	3907	8876	613058	982584	462375
29211	14422	2203	4280	368636	722710	290582
51600	323115	97081	167444	23005664	44866927	17882597
37171	313445	135173	211445	16908655	36283630	12723562
36089	408775	174891	286524	19758465	44845389	14867765
23023	87076	23734	42650	3905996	6359420	2950132
72005	51071	26035	47232	2624592	3343510	2022657
51193	33228	6213	12769	1676393	4038763	1301282
27091	69809	39377	61552	3445489	10223529	2555956
17017	17205	2477	3968	468499	872249	363604
45069	120468	30246	52306	4590630	7924394	3579856
13153	937232	330556	550230	43010971	115839404	32761574
66010	185699	56467	98310	10000616	14971113	7599800
18041	76393	26879	43214	3195923	6251574	2373277
19089	8372	3050	7197	327213	494972	229221
9001	271	136	271	24391	27630	19012
26043	159194	71459	125876	8102563	19937098	6075144
